sujet;texte;Unnamed: 0.15;Unnamed: 0.14;Unnamed: 0.13;Unnamed: 0.12;Unnamed: 0.11;Unnamed: 0.10;Unnamed: 0.9;Unnamed: 0.8;Unnamed: 0.7;Unnamed: 0.6;Unnamed: 0.5;Unnamed: 0.4;Unnamed: 0.3;Unnamed: 0.2;Unnamed: 0.1;Unnamed: 0
TIRS D’ABATAGE DANS LES MEUTES DE LOUP, le 1er décembre 2023 à 12h02;"Bonjour monsieur,madame, J’ai soixante-cinq ans est je ne peux pas dire que l’avenir est devant moi,mais  je veux espérer encore en une vraie prise de conscience humaine vis à vis de la biodiversité que des millions d’années ont construite.Lorsqu’on écoute les études scientifiques faites sur la destruction d’une espèce dans un milieux ,on apprend que toutes les espèces ont un rôle à jouer dans celui-ci et que la disparition de l’une d’elles entraine des dégâts parfois irréparables et la prolifération des autres. Le loup fait partie de notre milieu forestier,il régule les populations de sangliers et de chevreuils causant des dégâts dans les cultures,que les chasseurs seuls ne peuvent juguler.Toujours d’après des études,abattre  un individu dans la meute et si plus est il est adulte dominant, la meute en sera affaibli dans son efficacité pour la chasse au gros gibier et dans son rôle d’éducation aux plus jeunes.Il est donc nécessaire d’avoir des meutes de plusieurs individus pour encourager cette espèce à chasser du gibier plutôt que de se servir à"" l’hypermarché  que lui offre l’humain avec ses troupeaux énormes,peu combatifs, mal surveillés, et dont de nombreuses bêtes finiront dans vos assiettes après un bref séjour de bonheur en estive et de la maltraitance avant l’abatage. En conclusion ,je suis suis contre la politique de tir dans les meutes de loups,pour que ce mammifère joue son rôle sur notre belle planète qui n’en a plus pour longtemps grâce à cet autre mammifère l’humain. FB";;;;;;;;;;;;;;;;
AVIS DÉFAVORABLE , le 1er décembre 2023 à 12h05;Je m’oppose à ce projet d’arrêté.  Rien ne peut justifier des tirs d’une espèce protégée.  Les loups contribuent  à la régulation de l’écosystème.  Il faut travailler à la cohabitation et mieux protéger les troupeaux.  Le loup est de retour et doit vivre sur notre territoire commun pour longtemps. NON AUX TIRS !;;;;;;;;;;;;;;;;
avis défavorable, le 1er décembre 2023 à 12h07;Ce nouvel arrêté est fait pour faciliter l’éradication du loup et non pour protéger le bétail et prévenir des attaques dans le respect de la protection de l’espèce.;;;;;;;;;;;;;;;;
Contre, le 1er décembre 2023 à 12h14;Avec quels mots ou phrases la France se définirait elle aujourd’hui ?  Moyen Âge, armes à feux, destruction du vivant, non respect des avis aux consultations publiques, imposition de lois, imposition de mesures liées à la chasse malgré le taux de 70% de citoyens anti chasse, destruction d’espèces protégées (et j’en passe) ? Ou souhaitez-vous aujourd’hui rendre fiers vos citoyens, fiers de leur gouvernement qui prend des mesures réfléchies, souples, et non en proie à des lobbys bien trop puissants ?  Souhaitez-vous montrer l’exemple, suivre les trajectoires de nos voisins italiens et espagnols concernant leur cohabitation avec les grands prédateurs, tenir vos engagements en matière d’environnement et pour une fois écouter les conseils de spécialistes du sujet qui affirment que globalement les tirs ne sont pas la solution ? Merci de votre écoute, merci de votre humanité, respectons notre Terre qui nous accueille et nous fait vivre. Arrêtons de la détruire au profit d’une poignée d’entre nous… Si des agents lisent les avis sur cette consultation, alors merci de votre lecture.;;;;;;;;;;;;;;;;
Arrêtés autorisant la destruction du loup, le 1er décembre 2023 à 12h15;bonjour, il existe d’autres façons plus intelligentes pour permettre la cohabitation des espèces animales et humaines….;;;;;;;;;;;;;;;;
AVIS DEFAVORABLE, le 1er décembre 2023 à 12h15;pourquoi choisir de menacer un animal pour en protéger un autre, le loup est un animal sauvage qui fait partie du patrimoine français, il existe d’autre moyens pour protéger les élevages comme par exemple les chiens particulièrement efficaces en la matière. Arrêtons de chercher la facilité et surtout de continuer de donner des raisons aux chasseurs d’exercer !;;;;;;;;;;;;;;;;
Avis défavorable , le 1er décembre 2023 à 12h19;Il n’existe aucune étude montrant le lien entre tir de loup et baisse des prédations. Nous partageons notre territoire avec le loup, il faudrait d’abord massifier les mesures de protection des troupeaux avant de songer à abattre ce grand prédateur qui apporte des services ecosystemiques. Les exemples de nos voisins européens semblent fonctionner.;;;;;;;;;;;;;;;;
Halte à la chasse aux loups !!!, le 1er décembre 2023 à 07h03;La nature n’a pas besoin de nous pour se réguler, arrêtons de nous croire les maîtres du monde, aidez plutôt les bergers à retrouver les pratiques anciennes et laissons un territoire de vie aux loups et toutes espèces dites « nuisible » le pire prédateur est malheureusement l’homme …..;;;;;;;;;;;;;;;;
Opposé à ce projet d’arrêté , le 1er décembre 2023 à 07h09;Je suis défavorable à ce projet d’arrêté qui organise la chasse aux loups et qui s’apparente à un plan d’éradication.  Il ne tient pas compte d’éléments scientifiques indiscutables.;;;;;;;;;;;;;;;;
STOP à la chasse aux loups, le 1er décembre 2023 à 07h20;Quand on pense qu’il continue a être chassé toute l’année sans trêve pour la période de reproduction ! c’est un génocide !!!!! STOP;;;;;;;;;;;;;;;;
Sans titre, le 1er décembre 2023 à 07h21;Aucune amélioration du précédent protocole n’a été apportée dans ce nouveau projet d’arrêté. Aucune des études menées n’a permis de démontrer que les abattages de loups tels que pratiqués par la France ont permis de faire baisser les dommages sur le bétail. L’effarouchement non létal n’est toujours pas une exigence préalable au tir, même s’agissant des troupeaux considérés comme non protégeables. Les tirs de défense continuent d’être déconnectés des dommages : les éleveurs, dès lors qu’ils protègent leurs troupeaux, peuvent obtenir une autorisation de tir même s’ils n’ont jamais été attaqués. Les tirs de prélèvement continuent à être autorisés, véritables chasses aux loups qui n’assurent pas la défense des troupeaux mais consistent à tuer à tout prix un ou plusieurs loups dans un secteur, qu’ils soient ou non à l’origine des dommages allégués ! Pire encore, comme annoncé dans le projet de PNA, le ministère projette de faciliter encore les possibilités de tir. Les tirs de défense qui ne pouvaient être mis en œuvre que par un seul tireur autour d’un troupeau pourront être mis en œuvre par 2, voire jusqu’à 3 tireurs simultanément sur chaque troupeau, et même sur chaque lot d’animaux si le troupeau est ainsi divisé. Par ce projet qui assouplit encore plus les tirs de loup, la visée de l’État n’est pas de faire baisser la prédation sur le bétail, mais de stopper coute que coute la croissance et l’expansion de la population de loups, ce qui est en totale contradiction avec nos engagements internationaux !;;;;;;;;;;;;;;;;
Défavorable !, le 1er décembre 2023 à 07h23;Defavorable ! Comment peut-on autoriser ce qui s’apparente à une chasse aux loups… ouverte à tous es eleveurs même si ils n’ont pas subi d’attaque. C’est une espèce bénéfique qui vit comme nous sur la même planète et qui est toujours menacée. Là, ce sont des intérêts privés qui sont défendus, pas le bien général.;;;;;;;;;;;;;;;;
Non à l abattage des loups, le 1er décembre 2023 à 07h35;Défavorable !! Aucun progrès dans la reintégration du loup mais deux pas en arrière;;;;;;;;;;;;;;;;
défavorable , le 1er décembre 2023 à 07h36;"Non à la destruction des loups ; ils ont un rôle à jouer dans la chaine alimentaire  Nous n’avons pas le droit de les tuer !!!! c’est un crime";;;;;;;;;;;;;;;;
Avis défavorable , le 1er décembre 2023 à 07h39;Je suis contre les articles qui augmentent le nombre de tireurs lors des attaques des loups envers un troupeau dans une nouvelle zone. Je préfère une mise en place de protection des troupeaux plus réactives ainsi que des moyens d’effarouchement. Une observation des nouvelles zones d’habitat des loups ainsi que la mise en place de mesures préventives de protection des troupeaux apparaît comme une option respectueuse d’une espèce protégée ainsi que des animaux domestiques. Le nombre de loups est passé de 430 à 1014 entre 2018 et 2022-2023 tout en augmentant ses zones de présence de 125 en 2021  à 157 en 2022. Il a fallu 5 ans pour que le nombre de meutes double. Sa réintroduction en 2018 ne donne pas un recul suffisant sur l’évolution de sa population. Protégeons les élevages domestiques et laissons lui ( présence des loups) du temps. En proportion de notre territoire, sa population reste bien faible. Je trouve que les changements des moyens de protection sont disproportionnés par rapport à la  densité de population du nombre de loup et la progression de sa présence sur notre territoire. Protéger, prévenir et rassurer me semblent être des axes plus respectueux.;;;;;;;;;;;;;;;;
Défavorable !!!!!, le 1er décembre 2023 à 07h42;On détruit déjà suffisamment la biodiversité avec les changements climatiques que nous induisons alors si on rajoute des lois pour tuer l’un des grands prédateurs naturels, nous ne ferons que détruire encore plus les écosystèmes. Les loups sont nécessaires à notre survie.;;;;;;;;;;;;;;;;
NON , le 1er décembre 2023 à 07h43;pourquoi nous français si intelligents n’arrivons nous pas à vivre avec d’autres espèces dès qu’elles ne nous sont plus soumises ? D’autres y arrivent, Alors ?;;;;;;;;;;;;;;;;
La biodiversité, le 1er décembre 2023 à 07h49;Le loup est indispensable à notre biodiversité. Arrêtons de vouloir protéger sans protéger le monde du vivant.;;;;;;;;;;;;;;;;
Avis totalement défavorable, le 1er décembre 2023 à 07h51;Aucune dérogation ne devrait être accordée. Il est indispensable à l’équilibre des écosystèmes.;;;;;;;;;;;;;;;;
Non au projet fixant les conditions et limites dans lesquelles des dérogatins aux interdictions de destruction peuvent être accordées par les préfets concernant le loup (canis lupus), le 1er décembre 2023 à 07h52;"Sauvons la biodiversité. D’autres moyens existent pour permettre dans une bonne intelligence leur cohabitation d’avec l’humain. Mais, la ""France"" ne reconnaît que la prédation vis à vis de la faune sauvage en dépit des avis scientifiques et détourne les traités de protection du vivant qu’elle a signés.";;;;;;;;;;;;;;;;
Avis défavorable, le 1er décembre 2023 à 07h53;Encore une fois les avis scientifiques ne sont pas pris en considération. Protégeons le loup, indispensable pour que la nature s’auto régule.;;;;;;;;;;;;;;;;
loups., le 1er décembre 2023 à 07h53;Nous souhaitons que le plan national loup intègre • Un volet spécifique sur l’impact du loup sur la faune sauvage • Stabilise la population à 1100 loups sans la dépasser avec une répartition sur l’ensemble du pays • Propose une gestion adaptative du loup par massif ou département en tenant compte des enjeux agricoles, touristiques, cynégétiques. • Fixe un plafond de prélèvement admissible de 25% minimum pour enrayer la hausse des effectifs • Autoriser les éleveurs et les chasseurs à utilier les jumelles mais également les lunettes thermiques • Autoriser les tirs de prélèvements en action de chasse à partir du 1er juin sur les zones concernées par des attaques importantes • Revoir le système de comptage en utilisant de nouvelles méthodes comme les enregistreurs sonores.;;;;;;;;;;;;;;;;
