sujet;texte
comptage/esimation du nombre de loups, le 22 mars 2024 à 13h07;favorable à la fiabilisation du comptage, en intégrant les acteurs connaissant le terrain, fédérations de chasse et chasseurs.
Comptage loup, le 22 mars 2024 à 13h07;Je souhaiterai à ce que le monde cynégétique, de par son expertise et sa connaissance des territoires, soit intégré dans le déploiement de cette nouvelle méthode de comptage.
Favorable , le 22 mars 2024 à 13h09;Je souhaite une méthode de comptage fiable des loups  et je pense également que le monde cynégétique, de par son expertise, son temps passé dans la nature et sa connaissance des territoires, doit être intégré dans le déploiement de cette nouvelle méthode de comptage
Favorable, le 22 mars 2024 à 13h12;"je souhaite une méthode de comptage fiable ; <span class=""puce"">- Je demande à ce que le monde cynégétique, de par son expertise et sa connaissance des territoires, soit intégré dans le déploiement de cette nouvelle méthode de comptage."
Favorable , le 22 mars 2024 à 13h18;Je suis favorable à cette méthode de comptages et demande à ce que le monde cynégétique y soit associé
Comptage du loup, le 22 mars 2024 à 13h21;Je suis favorable à une méthode fiable de comptage du loup. Chanal64.
Comptage des loups, le 22 mars 2024 à 13h25;Je souhaite une méthode de comptage fiable des loups,  je pense également que le monde cynégétique de par son expertise, sa connaissance des territoires, doit être intégré dans le déploiement d’une nouvelle méthode de comptage.
Contage loup, le 22 mars 2024 à 13h26;Je suis favorable au contage des loups, mais avec les chasseurs qui sont les acteurs de la faune et de la flore connaissent le territoire.
Chasseurs, le 22 mars 2024 à 13h27;Je demande à ce que le monde de la chasse de par son expertise et sa connaissance des territoires, soit intégré dans le déploiement de cette nouvelle méthode de comptage.
Suivi Loup, le 22 mars 2024 à 13h34;Je demande un suivi effectué en collaboration avec le monde de la chasse. De part son expertise, sa connaissance des territoires l’intégration des acteurs du monde cynégétique dans le déploiement de cette nouvelle méthode de comptage est essentiel.
Opérer avec des méthodes fiables de concert avec les chasseurs , le 22 mars 2024 à 13h35;"Je souhaite  une méthode de comptage fiable ;et demande à ce que le monde cynégétique, de par son expertise et sa connaissance des territoires, soit intégré dans le déploiement de cette nouvelle méthode de comptage."
comptage loups, le 22 mars 2024 à 13h40;il est pour moi évident qu’un comptage loups sans le monde cynégétique, serait une absurdité et discréditerait complètement le résultat. Ce comptage n’aurait plus aucun sens. Alors oui je suis pour un comptage impartial.
suivi des populations de loups, le 22 mars 2024 à 13h41;Oui, je pense qu’il faut suivre de manière encore plus précise les populations de loups et bien mesurer leurs impacts tant sur la faune domestiques et sauvages que sur l’humain. Il faut des méthodes de comptages fiables où tous les acteurs locaux (personnes qui vivent et qui font vivre également ces territoires) impactés participent. Le monde cynégétique est implanté dans chaque commune de France. Ils connaissent parfaitement leurs territoires. Ils aménagent et gèrent en conséquences. Parler du loup et de sa gestion sans intégrer pleinement le monde cynégétique serait une aberration. Oui, au suivi et avec les chasseurs !
Comptage loup, le 22 mars 2024 à 13h49;Il faut réaliser des comptages précis afin de gérer la population de loup !
non au décret, le 16 mars 2024 à 08h05;le but de l’arrêté c’est de maintenir la chasse en l’état et d’y ajouter le droit du tuer les loups.  le plaisir de tuer de traquer une proie jusqu’à l’épuisement c’est nauséabond les chasseurs !!!
Contre ce projet, le 16 mars 2024 à 15h04;NON à la destruction du loup ! OUI pour des moyens mis en place pour vivre ensemble
totalement CONTRE ce projet, le 17 mars 2024 à 09h01;"Ce projet est en fait une ""astuce"" gouvernementale pour permettre d’augmenter le quota de tirs de loups.  Le gouvernement français propose une solution simpliste, l’abattage des loups, pour répondre à un problème complexe. Encore une fois le gouvernement écoute, suit, la pression d’une minorité au détriment de la protection du  bien commun qui pourtant devrait être son unique boussole.  La méthode de comptage CMR « Capture-Marquage-Recapture » couplée à la méthode EMR « Effectif Minimal Retenu » permet d’éviter au maximum le double, voire plus,  comptage d’un seul et même individu. Cette méthode a d’ailleurs été adoptée par d’autres pays comme l’Allemagne.  La France est le pays où il y a le moins de loups, le plus de tirs autorisés et le plus de prédation lupine sur les moutons ! cherchez l’erreur. En Grande-Bretagne où le loup n’est pas présent, le chiffre des prédations sur les ovins est quasiment le même qu’en France. On prend le loup comme bouc émissaire pour essayer de détourner des vrais problèmes de l’élevage ovin français. Dans d’autres pays la cohabitation existe, fonctionne même si de temps en temps il peut y avoir des tensions, globalement le respect de la présence du loup fonctionne."
totalement POUR, le 18 mars 2024 à 12h18;je ne suis pas contre la réintroduction du loup comme elle a été pratiqué à ses débuts mais l’évolution de la population des loups deviendra bientôt incontrolable. C’est facile pour certains de défendre le retour du loup en grande quantité mais jamais ces gens là ne seront les payeurs des dégâts occasionnés. Perte du cheptel ovins et bovins en alpage, et perte économique pour les communes de montagne qui vient du tourisme.
Tout à fait pour, le 18 mars 2024 à 14h35;Le meilleur contrôle  des populations est une nécessité.  Il faut protéger  l Élevage  et le pastorales sans réserve.  Le nombre de loups est devenu trop important et doit être  régule efficacement.
Tout à fait pour, le 18 mars 2024 à 14h40;Il est temps de réguler  plus efficacement  les populations  de loup qui sont  devenues envahissantes et détruisent l Élevage  et le pastoralisme.  Il faut en prendre conscience !!!! Mangez Français !!
Régulation des populations de loups, le 18 mars 2024 à 18h52;on va tout droit vers une catastrophe écologique avec cette réintroduction et se développement de la population de loup, de nombreuses espèces vont disparaitre ( cerf, chevreuil, sanglier, renards, lièvres). Une régulation est indispensable avec des prélèvements importants, des gens ont joué aux apprentis sorciers en réintroduisant ces animaux dans la nature. Le pâturage dans les zones difficiles d’accès va être impossible et les friches vont envahir les campagnes car les éleveurs vont faire de l’intégration pour éviter de perdre des bêtes et la nature ne sera plus entretenue. Il faut absolument éviter que tout le pays soit envahis par ces animaux.
Contre cette méthode de comptage, le 19 mars 2024 à 04h04;Encore une fois une montagne qui accouche d’une souris. Objectif est clair, continuer la protection total des loups qui sont des sources d’anxiétés pour les éleveurs. Il est sur que la société n’est pas concerné par ce problème dans leur rais de jardin, quoique bon nombre de loup sont vu aux abords des agglomérations. Continuons comme cela pour manger du mouton importé.
Projet d’arrêté méthode d’estimation loups, modification de l’arrêté du 23 octobre 2020., le 19 mars 2024 à 06h35;Comment comprendre qu’à la fois l’Europe ait qualifié l’ancienne méthode de meilleure sur son territoire et son changement deux ans après? La vertu de la précédente était d’être ouverte à la participation de tous les citoyens, quelques soient ses idées sur la gestion du loup. La nouvelle méthode ne permettra qu’aux spécialistes de l’OFB et du ministère de connaitre les conditions de récoltes des données, les moyens mis en oeuvre pour les interpréter et in fine la conditions de la construction annuelle des chiffres de loups présents.  Très clairement cette mise en place d’une nouvelle méthode, obscure, inaccessible au contrôle citoyen et permettant toutes les manipulations dans un sens ou un autre est de l’enfumage. La poursuite des hurlements provoqués avec la participation de tous les acteurs intéressés, sous contrôle de l’Etat était une solution qui fonctionnait bien. L’exemple de la Drôme l’a montré en révélant des chiffres de présence non contestés. Je suis contre cette modification qui n’est destinée qu’à gagner du temps pour l’Etat pour on ne sait quel politique concernant la régulation du loup. Mais en a-t’il un? Contre ce projet d’arrêté.
Projet d’arrêté relatif à la méthode d’estimation de la population de loups, le 21 mars 2024 à 11h41;Le besoin d’adoption d’une nouvelle méthode de comptage démontre, si besoin était, que les recensements que nous contestons depuis de nombreuses années n’ont jamais correspondu à la réalité du terrain.  Il y a 25 ans, nous avons découvert l’ « apparition » du loup sur les haut plateaux du Vercors. En 25 ans, sa prolifération n’a de cesse était exponentielle car il y a un chiffre sur lequel tout le monde s’accorde qui note une progression de la population lupine de 20% par an soit un doublement tous les 5 ans. Aujourd’hui, il est urgent d’avoir un comptage réaliste car nous ne sommes plus dans l’esprit de la Convention de Berne de 1979 qui consistait à protéger l’espèce lupine alors menacée de disparition mais, force est de constater, que nous sommes aujourd’hui confrontés à la nécessité absolue et urgente de lutter contre sa prolifération sur l’ensemble du territoire français. Il en va de la reconnaissance du travail incessant des femmes et des hommes qui se battent pour le maintien de l’élevage extensif ovin, bovin et équin en montagne mais aussi en plaine ainsi que du maintien de la biodiversité animale sauvage qui est actuellement littéralement décimée par le loup. Bernard PERAZIO Vice-Président du Département de l’Isère  Elu sur la partie Ouest du massif du Vercors isérois
