titre;texte
Arrêtons de penser aux humains mais préservons tous les êtres vivants., le 4 juin 2025 à 09h37;Le Loup gris est une espèce protégée et vulnérable à l’échelle française. Par conséquent, l’interdictions de destruction ne doit pas être accordées par les préfets concernant le loup. La protection de ce prédateur ne doit pas être réduite.
Défavorable à la modification de la loi, le 4 juin 2025 à 09h37;Le loup fait partie de la biodiversité. Des solutions de protection des élevages existent par ailleurs, mais sont insuffisamment mises en place. Il faut aider les éleveurs et éviter au maximum l’abattage.
DEFAVORABLE, le 4 juin 2025 à 09h38;Le Loup gris est une espèce protégée et vulnérable à l’échelle française. Par conséquent, l’interdictions de destruction ne doit pas être accordées par les préfets concernant le loup. La protection de ce prédateur ne doit pas être réduite.
Défavorable , le 4 juin 2025 à 09h38;Le loup est indispensable à l’équilibre naturel.
Avis défavorable au projet d’arrêté, le 4 juin 2025 à 09h39;"Etonnée et surprise toujours de cette haine du loup , présent sur notre territoire  le loup (canus lupus) a toute son utilité dans la régulation de la faune sauvage et pourrait bien mieux remplacer ""nos chasseurs"" à qui tout est permis dans l’extermination de certaines espèces .  Cet animal magnifique et intelligent qui par le passé a déjà été exterminé sur notre territoire, vit pourtant très bien dans d’autres pays européens voisins. Certes il faut peut-être davantage aider la mise en place de protection des troupeaux par des moyens de surveillance , d’effarouchement, par la présence plus nombreuse de chiens de surveillance et par des enclos mieux adaptés et  nécessaires à une protection nocturne, mais ne dérogeons pas  à ce qui a déjà été écrit et le loup doit être accepté et protégé. Il retrouve sa place et c’est rassurant pour notre bio-diversité."
avis favorable, le 4 juin 2025 à 09h42;simplification règle de déclenchement des tirs
DÉFAVORABLE, le 4 juin 2025 à 09h42;Je tiens à exprimer mon avis défavorable concernant le projet d’arrêté visant à autoriser de nouvelles dérogations pour abattre des loups en France. Ce projet, loin de résoudre les problèmes rencontrés par les éleveurs, accentue les menaces pesant sur la conservation de cette espèce protégée, sans apporter de solutions efficaces et durables. Voici les arguments qui étayent ma position :     Manque de synthèse et de diffusion des études existantes : Le Plan National d’Actions (PNA) 2024-2029 « Loup et activités d’élevage » prévoit la réalisation et la diffusion d’une synthèse des études et des expérimentations sur les moyens de protection des élevages bovins. Cette synthèse est cruciale pour informer et guider les pratiques, mais elle n’a pas été réalisée à ce jour.     Critères d’attribution des autorisations de tir insuffisants : Les autorisations de tir sont actuellement basées uniquement sur les dommages subis, sans tenir compte de l’état de conservation du loup aux différents niveaux géographiques. Cette approche ne permet pas une gestion équilibrée et durable de la population de loups.     Privilégier les solutions non létales : Des solutions non létales, telles que la présence humaine (éleveurs, bergers, bénévoles), les clôtures, les chiens de protection ou l’effarouchement, doivent être privilégiées. Ces méthodes, soutenues par une aide financière adaptée, ont prouvé leur efficacité et doivent être mises en œuvre avant toute autorisation de destruction.     Absence de bilan des arrêtés précédents : Aucun bilan des effets des arrêtés précédents sur la conservation du loup et sur les dommages aux troupeaux n’a été réalisé. Il est essentiel d’évaluer l’impact des mesures passées pour ajuster et améliorer les stratégies futures.     Nécessité d’une analyse technico-économique neutre : L’élaboration de l’analyse technico-économique territoriale doit être mieux cadrée et réalisée par un prestataire « neutre ». Cela garantirait une évaluation objective et impartiale des situations locales.     Seuil déclencheur trop faible : Le seuil déclencheur d’une autorisation de destruction est très faible : une seule prédation au cours des 12 derniers mois suffit. Ce critère est insuffisant pour justifier l’abattage d’un animal protégé et doit être révisé.     Mesures de réduction de vulnérabilité insuffisantes : Bien que l’élaboration d’une liste de mesures de réduction de vulnérabilité soit un progrès, une seule de ces mesures peut suffire pour obtenir une autorisation de tir. Il est important qu’au minimum deux mesures soient requises pour que le dispositif soit efficace en termes de protection.     Existence de moyens de protection efficaces en Europe : Des moyens de protection efficaces pour les troupeaux bovins et équins existent ailleurs en Europe et fonctionnent très bien, comme le montre l’étude « Parangonnage sur la politique publique du loup ». Il est impératif de s’inspirer de ces pratiques et de les adapter au contexte français. En conclusion, j’estime que le projet d’arrêté actuel ne répond pas aux exigences de conservation du loup et ne propose pas de solutions durables pour les éleveurs. Je demande une révision profonde de ce projet, en intégrant les points mentionnés ci-dessus, afin de garantir une cohabitation harmonieuse entre les activités humaines et la protection de cette espèce emblématique.
Défavorable à l’évolution de l’arrêté du 21 février 2024, le 4 juin 2025 à 09h44;Je refuse de voir les conditions de tir des loups évoluer vers une plus grande facilité à autoriser le tir d’individu alors que toutes les mesures de protection du troupeau ne sont pas mises en œuvre, que l’autorisation de tir peut être engagée dès la première attaque du troupeau.
DÉFAVORABLE , le 4 juin 2025 à 09h44;Le loup fait parti de notre écosystème et est indispensable à la biodiversité vous ne pouvez pas procéder à l’abattage de tout les animaux sauvages qui gêne les éleveurs en tant que prédateurs le chacal le lynx l’ours sont revenus sur notre territoire vous ne pouvez pas tous les éradiquer
Pour la protection du loup et des espèces sauvages en France et en Europe, le 4 juin 2025 à 09h44;Le loup doit redevenir une espèce strictement protégée. Il n’existe pas d’arguments valables qui puissent remettre en question cette condition. Est-ce que l’homme n’a pas assez fait de dégât sur la nature ? Nous détruisons sous le prétexte de nuisance. Et qu’est-ce que cela a entraîné ? Un appauvrissement de nos sols dans la culture, des destructions d’écosystèmes vitaux, une artificialisation des sols à outrance. Quand est-ce que nous allons arrêter de nous tirer une balle dans le pied. Le changement de statut du loup et les programmes d’abattage sont la porte ouverte à toutes les dérives. Il a réinvesti naturellement un territoire du quel il a été chassé. Le message est clair il a naturellement sa place dans notre écosystème. Écosystème qui comme son nom l’indique n’a pas besoin de la main de l’homme pour s’auto-reguler. Le loup prédateur, dépend des proies disponibles. Sa population est donc naturellement régulée par les ressources disponibles.  Cela pose effectivement la question des attaques de troupeaux et de la gêne occasionnée aux éleveurs. Mais est-ce que cette problématique n’est pas aussi révélateur d’un mode d’élevage qui n’a jamais été adapté à l’environnement dans lequel il se trouvait ? L’homme arrive s’implante et détruit tout ce qui va entrer en concurrence avec son projet. Là en l’occurrence le loup. Mais il pourrait être intéressant de comprendre comment fonctionne ce concurrent pour se prémunir de ses attaques. Il faudrait donc réaliser des études et tests sur de nouveaux moyens de protection et en analyser les impacts. Comprendre également ce qui provoque ces attaques, quel type de troupeaux sont plus sujet à ces attaques. Le loup  est présent dans d’autres pays d’Europe est-ce que nous ne pouvons pas nous inspirer de leur mode de protection ? Une autre question se pause. La France compte 4 millions de brebis sur son territoire (chiffre agreste) contre un millier de loup. Est-ce que le rapport n’est pas disproportionné ? Peut-on réellement justifier ces abattages ? N’est pas le moment de repenser une agriculture et un élevage plus en adéquation avec l’environnement, plus en harmonie. N’est-ce pas là le vrai sujet, plutôt que doit on abattre ou non des loups dit « nuisibles ».
AVIS DEFAVORABLE, le 4 juin 2025 à 02h37;Les tirs ne régleront pas les problèmes rencontrés de cohabitation avec les loups, ils doivent rester exceptionnels dès lors que toutes les solutions existantes n’ont pas été tentées. Les expertises scientifiques, rapports, expériences diverses en France ou ailleurs, ne manquent pas pour démontrer que les tirs sont contreproductifs.
Protection de l’espèce Canis lupus, le 4 juin 2025 à 02h48;Avis défavorable Laissons le loup réguler les populations de sangliers et chevreuils puisque les chasseurs sont incapables de le faire, chasseurs qui sont les premiers responsables de la surpopulation de ces animaux. Le loup fait partie intégrante de la biodiversité faunistique, donc laissons-le vivre.
Avis défavorable , le 4 juin 2025 à 02h55;Sensibiliser  les éleveurs à mieux se protéger ( par leur présence, des chiens, enclos renforcés…) et apprendre à vivre avec les loups, et tout ce qui nous entoure. C’est à nous de mieux se protéger et s’adapter, et ne pas tuer systématiquement tout ce qui nous dérange ou nuit à nos activités. Laissez la nature s’équilibrer toute seule… elle n’a pas besoin de nous pour équilibrer cette biodiversité déjà fragilisée par nos activités et non pas par les loups. Complètement DÉFAVORABLE
Avis défavorable, le 4 juin 2025 à 03h11;Sensibiliser les éleveurs à mieux se protéger ( par leur présence, des chiens, enclos renforcés…) et apprendre à vivre avec les loups, et tout ce qui nous entoure. C’est à nous de mieux se protéger et s’adapter, et ne pas tuer systématiquement tout ce qui nous dérange ou nuit à nos activités. Laissez la nature s’équilibrer toute seule… elle n’a pas besoin de nous pour équilibrer cette biodiversité déjà fragilisée par nos activités et non pas par les loups. Complètement DÉFAVORABLE
